time,pi,proc,points
0.0181112289429,3.1464,1,10000
0.0150163173676,3.16,1,10000
0.0150067806244,3.1356,1,10000
0.0148725509644,3.148,1,10000
0.0149846076965,3.1696,1,10000
0.0148253440857,3.122,1,10000
0.0148961544037,3.1216,1,10000
0.0148661136627,3.122,1,10000
0.015303850174,3.1672,1,10000
0.0150265693665,3.118,1,10000
147.469780207,3.14201364,1,100000000
163.192187309,3.14168228,1,100000000
151.109037161,3.14145444,1,100000000
152.723938227,3.14173904,1,100000000
153.542609215,3.14186156,1,100000000
149.124381304,3.1418014,1,100000000
152.79091692,3.14131116,1,100000000
154.232471943,3.14172004,1,100000000
327.548480272,3.14142784,1,100000000
153.222649097,3.14179148,1,100000000
767.70779109,3.141615752,1,500000000
935.431536436,3.14168008,1,500000000
749.035668612,3.14153004,1,500000000
763.79173708,3.141580168,1,500000000
757.89958787,3.14168568,1,500000000
865.897448778,3.14162004,1,500000000
770.322768211,3.14161948,1,500000000
782.007071018,3.141472648,1,500000000
806.52229166,3.141623256,1,500000000
775.861348629,3.14155068,1,500000000
